Fixed-point hardware support,Floating-point hardware support,LUT,FF,DSP,Arch
No,None,7936,5725,4,noFPU_IM
No,bfloat16,10053,7256,4,bfloat16_IMF
No,float19,9874,7281,6,float19_IMF
No,float24,10245,7356,6,float24_IMF
No,float32,10719,7507,10,float32_IMF
Yes,None,8342,5761,4,noFPU_IMZm
Yes,bfloat16,10431,7288,4,bfloat16_IMFZm
Yes,float19,10351,7317,6,float19_IMFZm
Yes,float24,10699,7388,6,float24_IMFZm
Yes,float32,11192,7543,10,float32_IMFZm
