bench,taffo_conf,scale,fpu_conf,arch,hw_float_support,hw_fixed_support,dynamic_pwr,time,sim_time,energy,hw_sw_config,rel_err_run,float_type_equivalent,mantissa,rel_err_sim,output_size,float_op_count_default,kernel_float_op_count_default,var_max,compile_time,lut,ff,dsp,energy_per_op,rel_err_pred,rel_err_pred_formal,fix_err_eq_fl_err,energy_pred,lut_share,ff_share,dsp_share,max_area_share,ml_error,energy_gain_rel,time_gain_rel,error_gain_rel,lut_gain_rel,ff_gain_rel,dsp_gain_rel,canon_arch,target_err,in_sim,in_pred,err_lt_target,min_dist,rel_err_diff,energy_diff,lut_diff,ff_diff,dsp_diff
jacobi-2d,float,1024,float32,float32_IMF,1,0,0.04,5540700000.0,4153.314448975,221628000.0,float32_IMF_float,2.203636474227409e-07,float32,24,1.7176094035289885e-07,225,18250,16900,16452.267578,,10719.0,7507.0,10.0,26569.725,2.712673611111107e-07,8.680555555555542e-06,2048.0,484897481.25,0.1690694006309148,0.0592034700315457,0.0416666666666666,0.1690694006309148,4.6864976944860004e-07,1.0,1.0,1.0,1.0,1.0,1.0,IMFfloat32,0.0001,1,0,True,0.0,1.0,1.0,1.0,1.0,1.0
jacobi-2d,fixed,1024,float32,float32_IMFZm,1,1,0.054,3127740000.0,4346.662443051,168897960.0,float32_IMFZm_fixed,0.004962011854015,float32,24,0.0049959173316495,225,18250,16900,16452.267578,1063.121337890625,11192.0,7543.0,10.0,13989.634724857686,2.712673611111107e-07,0.0078125,2048.0,255310833.7286528,0.1765299684542586,0.05948738170347,0.0416666666666666,0.1765299684542586,3.864544929663712e-05,0.762078618225134,0.564502680166766,22517.379395595057,1.044127250676369,1.0047955241774345,1.0,IMZmFfloat32,0.0001,0,1,True,0.7625404132860101,22517.379395595057,0.762078618225134,1.044127250676369,1.0047955241774345,1.0
jacobi-2d,fixed,1024,noFPU,noFPU_IMZm,0,1,0.056,3054860000.0,4730.482020437,171072160.0,noFPU_IMZm_fixed,0.0049620103691753,float32,24,0.0049959173316495,225,18250,16900,16452.267578,1063.121337890625,8342.0,5761.0,4.0,14138.862944162436,2.712673611111107e-07,0.0078125,2048.0,258034248.73096445,0.131577287066246,0.0454337539432176,0.0166666666666666,0.131577287066246,3.864544929663712e-05,0.7718887505188875,0.5513491075134911,22517.372657461445,0.778244239201418,0.7674170773944319,0.4,IMZm,0.0001,0,1,True,4.547598583960467,22517.372657461445,0.7718887505188875,0.778244239201418,0.7674170773944319,0.4
jacobi-2d,fixed,1024,noFPU,noFPU_IM,0,0,0.055,3551000000.0,3197.034725513,195305000.0,noFPU_IM_fixed,0.0049620103691753,float32,24,0.0049959173316495,225,18250,16900,16452.267578,1063.121337890625,7936.0,5725.0,4.0,17954.5875,2.712673611111107e-07,0.0078125,2048.0,327671221.875,0.125173501577287,0.0451498422712933,0.0166666666666666,0.125173501577287,3.864544929663712e-05,0.8812289060948978,0.6408937498871984,22517.372657461445,0.7403675716018285,0.7626215532169974,0.4,IM,0.0001,0,1,True,4.804801795319626,22517.372657461445,0.8812289060948978,0.7403675716018285,0.7626215532169974,0.4
jacobi-2d,float,1024,float32,float32_IMF,1,0,0.04,5540700000.0,4153.314448975,221628000.0,float32_IMF_float,2.203636474227409e-07,float32,24,1.7176094035289885e-07,225,18250,16900,16452.267578,,10719.0,7507.0,10.0,26569.725,2.712673611111107e-07,8.680555555555542e-06,2048.0,484897481.25,0.1690694006309148,0.0592034700315457,0.0416666666666666,0.1690694006309148,4.6864976944860004e-07,1.0,1.0,1.0,1.0,1.0,1.0,IMFfloat32,1e-05,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
jacobi-2d,fixed,8,bfloat16,bfloat16_IMFZm,1,1,0.049,3127740000.0,4181.371657103,153259260.0,bfloat16_IMFZm_fixed,0.0044020941486254,bfloat16,8,0.0030916132002405,225,18250,16900,128.53334,1074.100341796875,10431.0,7288.0,4.0,12505.559772296016,0.0711111111111111,1.1920928955078125e-07,134217728.0,228226465.84440228,0.1645268138801262,0.0574763406940063,0.0166666666666666,0.1645268138801262,0.0023910834160524,0.7092469571326033,0.564502680166766,19976.498846838003,0.9731318219983208,0.9708272279206074,0.4,IMZmFbfloat16,0.01,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
jacobi-2d,fixed,8,noFPU,noFPU_IMZm,0,1,0.056,3054860000.0,4695.840877903,171072160.0,noFPU_IMZm_fixed,1.118684176177902e-05,float32,24,1.118701872611905e-05,225,18250,16900,128.53334,1064.652587890625,8342.0,5761.0,4.0,14138.862944162436,2.712673611111107e-07,0.0078125,2048.0,258034248.73096445,0.131577287066246,0.0454337539432176,0.0166666666666666,0.131577287066246,1.4438187420142046e-05,0.7916807697629615,0.5513491075134911,50.76536848347959,0.778244239201418,0.7674170773944319,0.4,IMZm,0.01,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
jacobi-2d,fixed,8,noFPU,noFPU_IM,0,0,0.056,3549560000.0,5522.685557751,198775360.0,noFPU_IM_fixed,1.118684176177902e-05,float32,24,1.118701872611905e-05,225,18250,16900,128.53334,1064.652587890625,7936.0,5725.0,4.0,17954.5875,2.712673611111107e-07,0.0078125,2048.0,327671221.875,0.125173501577287,0.0451498422712933,0.0166666666666666,0.125173501577287,1.4438187420142046e-05,0.9198845096403166,0.6406338549280777,50.76536848347959,0.7403675716018285,0.7626215532169974,0.4,IM,0.01,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
jacobi-2d,fixed,8,float19,float19_IMFZm,1,1,0.051,3127740000.0,4065.155340091,159514740.0,float19_IMFZm_fixed,0.000768730017319,float19,11,0.0003656856694403,225,18250,16900,128.53334,1065.26416015625,10351.0,7317.0,6.0,13096.679316888043,0.0068542703351464,9.5367431640625e-07,16777216.0,239014397.5332068,0.1632649842271293,0.0577050473186119,0.025,0.1632649842271293,0.0009173115092351,0.7381958125257708,0.564502680166766,3488.461124644052,0.9656684392200764,0.9746902890635408,0.6,IMZmFfloat19,0.01,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
jacobi-2d,fixed,8,noFPU,noFPU_IMZm,0,1,0.056,3054860000.0,4695.840877903,171072160.0,noFPU_IMZm_fixed,1.118684176177902e-05,float32,24,1.118701872611905e-05,225,18250,16900,128.53334,1064.652587890625,8342.0,5761.0,4.0,14138.862944162436,2.712673611111107e-07,0.0078125,2048.0,258034248.73096445,0.131577287066246,0.0454337539432176,0.0166666666666666,0.131577287066246,1.4438187420142046e-05,0.7916807697629615,0.5513491075134911,50.76536848347959,0.778244239201418,0.7674170773944319,0.4,IMZm,0.001,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
