bench,scale,target_rel_err,pareto_sim,pareto_pred,common_percent
jacobi-2d,1024,0.0001,[486],[486],1.0
jacobi-2d,1024,1e-05,[486],[486],1.0
jacobi-2d,8,0.01,[ 326 1558 2334 3414],[ 326 1558 2334 3414],1.0
jacobi-2d,8,0.001,[1558 2334 3414],[1558 2334 3414],1.0
jacobi-2d,8,0.0001,[1012 1558 2334],[1354 1558 2334],0.6666666666666666
jacobi-2d,8,1e-05,[564],[564],1.0
jacobi-2d,2,0.01,[ 171 1608 2192 3259],[ 171 1608 2192 3259],1.0
jacobi-2d,2,0.001,[1608 2192 3259],[1608 2192 3259],1.0
jacobi-2d,2,0.0001,[ 857 1608 2192],[1199 1608 2192],0.6666666666666666
jacobi-2d,2,1e-05,[1608 2192],[468],0.0
seidel-2d,128,0.01,[  17 1591 2367 3105],[  17 1591 2367 3105],1.0
seidel-2d,128,0.001,[1591 2367 3105],[ 703 1591 2367],0.6666666666666666
seidel-2d,128,0.0001,[583],[583],1.0
seidel-2d,128,1e-05,[583],[583],1.0
seidel-2d,1,0.01,[1540 2086 3365],[ 277 1540 2086 3365],1.0
seidel-2d,1,0.001,[1540 2086 3365],[1540 2086 3365],1.0
seidel-2d,1,0.0001,[ 963 1540 2086],[1305 1540 2086],0.6666666666666666
seidel-2d,1,1e-05,[1305 1540 2086],[ 518 2302],0.0
seidel-2d,16,0.01,[  52 1491 2385 3140],[  52 1491 2385 3140],1.0
seidel-2d,16,0.001,[1491 2385 3140],[ 738 1491 2385],0.6666666666666666
seidel-2d,16,0.0001,[ 738 1491 2385],[1080 1491 2385],0.6666666666666666
seidel-2d,16,1e-05,[1080 1491 2385],[451],0.0
seidel-2d,64,0.01,[ 204 1509 2239 3292],[ 204 1509 2239 3292],1.0
seidel-2d,64,0.001,[1509 2239 3292],[ 890 1509 2239],0.6666666666666666
seidel-2d,64,0.0001,[ 890 1509 2239],[1232 1509 2239],0.6666666666666666
seidel-2d,64,1e-05,[601],[601],1.0
seidel-2d,512,0.01,[  98 1401 2257 3186],[  98 1401 2257 3186],1.0
seidel-2d,512,0.001,[1757],[2445],0.0
seidel-2d,512,0.0001,[387],[387],1.0
seidel-2d,512,1e-05,[387],[387],1.0
seidel-2d,1024,0.01,[ 295 1433 2119 3383],[ 295 1433 2119 3383],1.0
seidel-2d,1024,0.001,[1857],[2545],0.0
seidel-2d,1024,0.0001,[487],[487],1.0
seidel-2d,1024,1e-05,[487],[487],1.0
seidel-2d,8,0.01,[ 327 1559 2335 3415],[ 327 1559 2335 3415],1.0
seidel-2d,8,0.001,[1559 2335 3415],[1013 1559 2335],0.6666666666666666
seidel-2d,8,0.0001,[1013 1559 2335],[1355 1559 2335],0.6666666666666666
seidel-2d,8,1e-05,[1355 1559 2335],[565],0.0
seidel-2d,2,0.01,[ 172 1609 2193 3260],[ 172 1609 2193 3260],1.0
seidel-2d,2,0.001,[1609 2193 3260],[1609 2193 3260],1.0
seidel-2d,2,0.0001,[ 858 1609 2193],[1200 1609 2193],0.6666666666666666
seidel-2d,2,1e-05,[1200 1609 2193],[469],0.0
