bench,scale,target_rel_err,pareto_sim,pareto_pred,common_percent
bicg,8,0.01,[ 313 1545 2321 3401],[ 313 1545 2321 3401],1.0
bicg,8,0.001,[1545 2321 3401],[1545 2321 3401],1.0
bicg,8,0.0001,[ 999 1545 2321],[ 999 1545 2321],1.0
bicg,8,1e-05,[1341 1545 2321],[1341 1545 2321],1.0
bicg,2,0.01,[ 158 1595 2179 3246],[ 158 1595 2179 3246],1.0
bicg,2,0.001,[1595 2179 3246],[1595 2179 3246],1.0
bicg,2,0.0001,[ 844 1595 2179],[ 844 1595 2179],1.0
bicg,2,1e-05,[1595 2179],[1186 1595 2179],1.0
bicg,256,0.01,[1513 2137 3264],[ 176 1513 2137 3264],1.0
bicg,256,0.001,[ 862 1513 2137],[1513 2137 3264],0.6666666666666666
bicg,256,0.0001,[ 862 1513 2137],[1204 1513 2137],0.6666666666666666
bicg,256,1e-05,[2307 2677],[ 619 2307],0.5
gemm,128,0.01,[1940 2152 2972],[],0.0
gemm,128,0.001,[1940 2152],[],0.0
gemm,128,0.0001,[2152 2628],[1018],0.0
gemm,128,1e-05,[2152 2628],[ 570 2152],0.5
gemm,1,0.01,[ 265 1528 2074 3353],[ 265 1528 2074 3353],1.0
gemm,1,0.001,[1528 2074 3353],[1528 2074 3353],1.0
gemm,1,0.0001,[ 951 1528 2074],[ 951 1528 2074],1.0
gemm,1,1e-05,[1528 2074],[1293 1528 2074],1.0
gemm,16,0.01,[  39 1479 2372 3127],[  39 1479 2372 3127],1.0
gemm,16,0.001,[1479 2372 3127],[1479 2372 3127],1.0
gemm,16,0.0001,[ 725 1479 2372],[1067 1479 2372],0.6666666666666666
gemm,16,1e-05,[2124 2496],[438],0.0
gemm,32,0.01,[ 145 1438 2198 3233],[ 145 1438 2198 3233],1.0
gemm,32,0.001,[1438 2198 3233],[1438 2198 3233],1.0
gemm,32,0.0001,[ 831 1438 2198],[1173 1438 2198],0.6666666666666666
gemm,32,1e-05,[2166 2482],[ 424 2166],0.5
gemm,64,0.01,[ 191 1496 2226 3279],[ 191 1496 2226 3279],1.0
gemm,64,0.001,[ 877 1496 2226],[1496 2226  877],1.0
gemm,64,0.0001,[2276 2646],[757],0.0
gemm,64,1e-05,[2276 2646],[ 588 2276],0.5
gemm,512,0.01,[  85 1388 2244 3173],[  85 1388 2244 3173],1.0
gemm,512,0.001,[ 771 1388 2244],[ 771 1388 2244],1.0
gemm,512,0.0001,[2212 2432],[937],0.0
gemm,512,1e-05,[2212 2432],[ 374 2212],0.5
gemm,4,0.01,[ 103 1688 2340 3191],[ 103 1688 2340 3191],1.0
gemm,4,0.001,[1688 2340 3191],[1688 2340 3191],1.0
gemm,4,0.0001,[ 789 1688 2340],[ 789 1688 2340],1.0
gemm,4,1e-05,[1688 2340],[1131 1688 2340],1.0
gemm,1024,0.01,[ 282 1420 2106 3370],[ 282 1420 2106 3370],1.0
gemm,1024,0.001,[1844 2060],[],0.0
gemm,1024,0.0001,[2060 2532],[803],0.0
gemm,1024,1e-05,[2060 2532],[ 474 2060],0.5
gemm,8,0.01,[ 314 1546 2322 3064 3402],[ 314 1546 2322 3402],0.8
gemm,8,0.001,[1546 2322 3402],[1546 2322 3402],1.0
gemm,8,0.0001,[1000 1546 2322],[1000 1546 2322],1.0
gemm,8,1e-05,[1546 2322],[1342 1546 2322],1.0
gemm,2,0.01,[ 159 1596 2180 3247],[ 159 1596 2180 3247],1.0
gemm,2,0.001,[1596 2180 3247],[1596 2180 3247],1.0
gemm,2,0.0001,[ 845 1596 2180],[ 845 1596 2180],1.0
gemm,2,1e-05,[1596 2180],[1187 1596 2180],1.0
gemm,256,0.01,[1990 2308 3022],[],0.0
gemm,256,0.001,[1990 2308],[],0.0
gemm,256,0.0001,[2308 2678],[923],0.0
gemm,256,1e-05,[2308 2678],[ 620 2308],0.5
gesummv,128,0.01,[   6 1580 2356 3094],[   6 1580 2356 3094],1.0
gesummv,128,0.001,[ 692 1580 2356],[ 692 1580 2356],1.0
gesummv,128,0.0001,[ 692 1580 2356],[1034 1580 2356],0.6666666666666666
gesummv,128,1e-05,[2154 2630],[ 572 2154],0.5
gesummv,1,0.01,[ 267 1530 2076 3355],[ 267 1530 2076 3355],1.0
gesummv,1,0.001,[ 953 1530 2076],[1530 2076 3355],0.6666666666666666
gesummv,1,0.0001,[ 953 1530 2076],[ 953 1530 2076],1.0
gesummv,1,1e-05,[1295 1530 2076],[1295 1530 2076],1.0
gesummv,16,0.01,[  41 1764 2374 2796 3129],[  41 1764 2374 2796 3129],1.0
gesummv,16,0.001,[ 727 2374 2452],[1764 2374 3129],0.3333333333333333
gesummv,16,0.0001,[ 727 2374 2452],[ 727 2374 2452],1.0
gesummv,16,1e-05,[ 394 1069 2374],[ 394 1069 2374],1.0
gesummv,32,0.01,[ 147 2048 2200 3080 3235],[ 147 2048 2200 3080 3235],1.0
gesummv,32,0.001,[ 833 2200 2736],[2048 2200 3235],0.3333333333333333
gesummv,32,0.0001,[ 833 2200 2736],[ 678 1175 2200],0.3333333333333333
gesummv,32,1e-05,[ 678 1175 2200],[ 678 1175 2200],1.0
gesummv,64,0.01,[ 193 1498 2228 3281],[ 193 1498 2228 3281],1.0
gesummv,64,0.001,[ 879 1498 2228],[1498 2228 3281],0.6666666666666666
gesummv,64,0.0001,[ 879 1498 2228],[1221 1498 2228],0.6666666666666666
gesummv,64,1e-05,[2278 2648],[ 590 2278],0.5
gesummv,512,0.01,[  87 1390 2246 3175],[  87 1390 2246 3175],1.0
