bench,taffo_conf,scale,fpu_conf,arch,hw_float_support,hw_fixed_support,dynamic_pwr,time,sim_time,energy,hw_sw_config,rel_err_run,float_type_equivalent,mantissa,rel_err_sim,output_size,float_op_count_default,kernel_float_op_count_default,var_max,compile_time,lut,ff,dsp,energy_per_op,rel_err_pred,rel_err_pred_formal,fix_err_eq_fl_err,energy_pred,lut_share,ff_share,dsp_share,max_area_share,ml_error,energy_gain_rel,time_gain_rel,error_gain_rel,lut_gain_rel,ff_gain_rel,dsp_gain_rel,canon_arch
symm,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.043,1062700000.0,2325.726492143,45696100.0,bfloat16_IMFZm_fixed,0.007865858868641,bfloat16,8,0.0064154861716652,160,4935,4560,700554.25,1157.877685546875,10431.0,7288.0,4.0,12505.559772296016,0.024999999999999994,0.00032622099388390747,134217728.0,61714937.47628084,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.0025139718586935558,0.5314387379101906,0.48200257624412635,197709.71717928204,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
syr2k,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.044,1997460000.0,3487.485904426,87888240.0,bfloat16_IMFZm_fixed,0.0079065838483498,bfloat16,8,0.0059212359542934,256,8872,8296,126996.476562,1158.026123046875,10431.0,7288.0,4.0,12505.559772296016,0.03125,5.9137342759407994e-05,134217728.0,110949326.29981025,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.002862921076918689,0.713458603879104,0.6323837625292058,249240.1594088242,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
syrk,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.043,1254900000.0,3508.948324914,53960699.99999999,bfloat16_IMFZm_fixed,0.0044647033136197,bfloat16,8,0.003172988451314,256,4632,4216,105803.515625,1025.938232421875,10431.0,7288.0,4.0,12505.559772296016,0.015625,4.926860128762197e-05,134217728.0,57925752.865275145,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.0010206236671494802,0.5686744534852252,0.5157745043238089,166155.0364461209,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
trmm,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.045,597460000.0,2136.845902734,26885700.0,bfloat16_IMFZm_fixed,0.0046011602504935,bfloat16,8,0.0024828271342902,160,1805,1600,85320.0,1048.98046875,10431.0,7288.0,4.0,12505.559772296016,0.006249999999999999,3.9730221033096266e-05,134217728.0,22572535.388994306,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.00035195401596960734,0.5289320356260928,0.4819158546815513,157539.0740412411,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
heat-3d,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.051,196500000.0,1915.253549631,10021500.0,bfloat16_IMFZm_fixed,0.0011445221445221,bfloat16,8,0.0,125,8350,8100,3328.0,1339.158447265625,10431.0,7288.0,4.0,12505.559772296016,0.064,1.5497207641601548e-06,134217728.0,104421424.09867173,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.0023681465645063746,0.1808200640534079,0.12409220082096621,1144522.1445221,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
jacobi-1d,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.044,179040000.0,468.513092661,7877760.0,bfloat16_IMFZm_fixed,0.0048776435726777,bfloat16,8,0.0023588793055819,15,840,780,145.066666,893.37646484375,10431.0,7288.0,4.0,12505.559772296016,0.033333333333333326,1.1920928955078125e-07,134217728.0,10504670.208728652,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.00024942528832512387,0.048699483873600034,0.06087435484200004,129537.75796100366,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
jacobi-2d,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.049,3127740000.0,4404.247248032,153259260.0,bfloat16_IMFZm_fixed,0.0050936590207131,bfloat16,8,0.0033205446201234,225,18250,16900,2056.533447,1059.51123046875,10431.0,7288.0,4.0,12505.559772296016,0.0711111111111111,9.576480123214408e-07,134217728.0,228226465.84440228,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.00419690757320315,0.6915157832042883,0.564502680166766,23114.788125382285,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
seidel-2d,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.049,4777780000.0,7397.619529377,234111220.0,bfloat16_IMFZm_fixed,0.0046195604235239,bfloat16,8,0.0030940997034472,400,30360,29160,2566.399902,1038.35693359375,10431.0,7288.0,4.0,12505.559772296016,0.03999999999999999,1.1950730821117761e-06,134217728.0,379668794.68690705,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.005712862381342105,0.6778242011539889,0.5394927315307259,82877.58451717922,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
2mm,float,1,bfloat16,bfloat16_IMFZm,1,1,0.034,3644660000.0,1803.882754935,123918440.0,bfloat16_IMFZm_float,0.0034250025765955,bfloat16,8,0.0309604565793997,112,5700,5232,19.18125,,10431.0,7288.0,4.0,23163.35,0.035714285714285726,0.2857142857142858,134217728.0,132031094.99999999,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.00843204660401328,0.8717948717948718,1.0,80387.61359149367,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
3mm,float,1,bfloat16,bfloat16_IMFZm,1,1,0.035,3910240000.0,1435.516155183,136858400.0,bfloat16_IMFZm_float,0.0075281276023796,bfloat16,8,0.0556945520187737,72,5220,4800,0.183333,,10431.0,7288.0,4.0,23163.35,0.055555555555555566,0.44444444444444453,134217728.0,120912686.99999999,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.010726995629200006,0.8536585365853658,1.0,114345.45188137976,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
atax,float,1,bfloat16,bfloat16_IMFZm,1,1,0.035,1205020000.0,613.631208693,42175700.00000001,bfloat16_IMFZm_float,0.0042700988358607,bfloat16,8,0.0644477460610011,22,2244,1760,7.6915,,10431.0,7288.0,4.0,23163.35,0.09090909090909091,0.7272727272727273,134217728.0,51978557.4,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.006856410214389795,0.8536585365853661,1.0,65060.34741243769,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
bicg,float,1,bfloat16,bfloat16_IMFZm,1,1,0.035,1022860000.0,753.088181421,35800100.0,bfloat16_IMFZm_float,0.0035178455746338,bfloat16,8,0.0239894151058488,42,2242,1760,6.840909,,10431.0,7288.0,4.0,23163.35,0.0476190476190476,0.3809523809523808,134217728.0,51932230.699999996,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.0034342251127695692,0.875,1.0,75097.10050462047,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
gemm,float,1,bfloat16,bfloat16_IMFZm,1,1,0.033,3483620000.0,1699.899604327,114959460.0,bfloat16_IMFZm_float,0.0028625136643467,bfloat16,8,0.0191174974584645,120,6352,5880,7.21,,10431.0,7288.0,4.0,23163.35,0.033333333333333326,0.2666666666666666,134217728.0,147133599.2,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.009706815558068932,0.868421052631579,1.0,94900.21406196468,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
gemver,float,1,bfloat16,bfloat16_IMFZm,1,1,0.035,1982860000.0,4352.407556786,69400100.0,bfloat16_IMFZm_float,0.0038668562651272,bfloat16,8,0.0120002833922919,440,4640,4020,18.203592,,10431.0,7288.0,4.0,23163.35,0.009090909090909089,0.07272727272727271,134217728.0,107477944.0,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.0012826986344631258,0.8536585365853658,1.0,106921.85073026661,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
gesummv,float,1,bfloat16,bfloat16_IMFZm,1,1,0.036,600120000.0,420.315518309,21604320.0,bfloat16_IMFZm_float,0.0065109355222087,bfloat16,8,0.0089804131896198,16,1600,1072,11.325001,,10431.0,7288.0,4.0,23163.35,0.0625,0.5,134217728.0,37061360.0,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.004796224910059637,0.9,1.0,179006.18307107865,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
lu,float,1,bfloat16,bfloat16_IMFZm,1,1,0.036,4049840000.0,5502.952873969,145794240.0,bfloat16_IMFZm_float,0.0170103814232518,bfloat16,8,0.0294515432164485,400,21550,5130,8.1725,,10431.0,7288.0,4.0,23163.35,0.03999999999999999,0.3199999999999999,134217728.0,499170192.49999994,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.03383843225856097,0.8547368361809271,0.997192975544415,70541.84301438922,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
ludcmp,float,1,bfloat16,bfloat16_IMFZm,1,1,0.036,4198460000.0,2858.614606109,151144560.0,bfloat16_IMFZm_float,1.1411990298485073,bfloat16,8,0.9633309296632904,20,22390,5910,8.1725,,10431.0,7288.0,4.0,23163.35,0.7999999999999998,6.399999999999999,134217728.0,518627406.49999994,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.8887284247339328,0.8545619475961379,0.9969889388621609,49178.211219268574,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
mvt,float,1,bfloat16,bfloat16_IMFZm,1,1,0.034,1089800000.0,684.872778466,37053200.0,bfloat16_IMFZm_float,0.0049833783272099,bfloat16,8,0.028669797255447,40,2080,1600,5.75,,10431.0,7288.0,4.0,23163.35,0.04999999999999999,0.3999999999999999,134217728.0,48179768.0,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.0030915688633880293,0.8717948717948718,1.0,99819.34649530631,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
