bench,arch,taffo_conf,hw_sw_config,energy,float_op_count_default,kernel_float_op_count_default,energy_per_op
gemm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,116540160.0,6352,5880,19819.755102040817
gemver,bfloat16_IMFZm,float,bfloat16_IMFZm_float,69476400.0,4640,4020,17282.68656716418
gesummv,bfloat16_IMFZm,float,bfloat16_IMFZm_float,20998600.000000004,1600,1072,19588.24626865672
lu,bfloat16_IMFZm,float,bfloat16_IMFZm_float,146617920.0,21550,5130,28580.491228070176
ludcmp,bfloat16_IMFZm,float,bfloat16_IMFZm_float,150343200.0,22390,5910,25438.781725888326
mvt,bfloat16_IMFZm,float,bfloat16_IMFZm_float,37061360.0,2080,1600,23163.35
symm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,74961840.0,4935,4560,16439.0
syr2k,bfloat16_IMFZm,float,bfloat16_IMFZm_float,107393080.0,8872,8296,12945.16393442623
syrk,bfloat16_IMFZm,float,bfloat16_IMFZm_float,82723360.0,4632,4216,19621.290322580644
trmm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,44631360.0,1805,1600,27894.6
2mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,122988200.0,5700,5232,23506.91896024465
3mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,136389400.0,5220,4800,28414.458333333332
atax,bfloat16_IMFZm,float,bfloat16_IMFZm_float,42270900.00000001,2244,1760,24017.556818181823
bicg,bfloat16_IMFZm,float,bfloat16_IMFZm_float,34781320.0,2242,1760,19762.113636363636
gemm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,116540160.0,6352,5880,19819.755102040817
gemver,bfloat16_IMFZm,float,bfloat16_IMFZm_float,69476400.0,4640,4020,17282.68656716418
gesummv,bfloat16_IMFZm,float,bfloat16_IMFZm_float,20998600.000000004,1600,1072,19588.24626865672
lu,bfloat16_IMFZm,float,bfloat16_IMFZm_float,146617920.0,21550,5130,28580.491228070176
ludcmp,bfloat16_IMFZm,float,bfloat16_IMFZm_float,150343200.0,22390,5910,25438.781725888326
mvt,bfloat16_IMFZm,float,bfloat16_IMFZm_float,37061360.0,2080,1600,23163.35
symm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,74961840.0,4935,4560,16439.0
syr2k,bfloat16_IMFZm,float,bfloat16_IMFZm_float,107393080.0,8872,8296,12945.16393442623
syrk,bfloat16_IMFZm,float,bfloat16_IMFZm_float,82723360.0,4632,4216,19621.290322580644
trmm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,44631360.0,1805,1600,27894.6
2mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,67228700.0,5700,5232,12849.522171253822
3mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,67668120.0,5220,4800,14097.525
atax,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,27478560.0,2244,1760,15612.818181818182
bicg,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,19766080.0,2242,1760,11230.727272727272
gemm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,69954720.0,6352,5880,11897.061224489797
gemver,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,47798400.0,4640,4020,11890.149253731342
gesummv,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,10452280.0,1600,1072,9750.26119402985
lu,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,79273500.0,21550,5130,15452.923976608186
ludcmp,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,76716040.0,22390,5910,12980.717428087986
mvt,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,22025640.0,2080,1600,13766.025
symm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,67054200.0,4935,4560,14704.868421052632
syr2k,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,87874160.0,8872,8296,10592.35294117647
syrk,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,53978759.99999999,4632,4216,12803.311195445918
trmm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,39030400.0,1805,1600,24394.0
heat-3d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,10077600.0,8350,8100,1244.148148148148
jacobi-1d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,7877760.0,840,780,10099.692307692309
jacobi-2d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,153259260.0,18250,16900,9068.59526627219
seidel-2d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,234111220.0,30360,29160,8028.50548696845
2mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,61652539.99999999,5700,5232,11783.74235474006
3mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,64533919.99999999,5220,4800,13444.566666666666
atax,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,27307440.0,2244,1760,15515.59090909091
bicg,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,20288000.0,2242,1760,11527.272727272728
gemm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,72246600.0,6352,5880,12286.836734693878
gemver,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,45178440.0,4640,4020,11238.41791044776
gesummv,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,10320780.0,1600,1072,9627.59328358209
lu,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,85074000.0,21550,5130,16583.625730994154
ludcmp,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,75463920.0,22390,5910,12768.852791878173
mvt,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,22615420.0,2080,1600,14134.6375
symm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,45978240.0,4935,4560,10082.947368421053
syr2k,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,85418960.0,8872,8296,10296.403085824493
syrk,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,58561360.0,4632,4216,13890.265654648956
trmm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,28080620.0,1805,1600,17550.3875
2mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,122988200.0,5700,5232,23506.91896024465
3mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,136389400.0,5220,4800,28414.458333333332
atax,bfloat16_IMFZm,float,bfloat16_IMFZm_float,42270900.00000001,2244,1760,24017.556818181823
bicg,bfloat16_IMFZm,float,bfloat16_IMFZm_float,35804300.0,2242,1760,20343.352272727272
gemm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,116540160.0,6352,5880,19819.755102040817
gemver,bfloat16_IMFZm,float,bfloat16_IMFZm_float,69476400.0,4640,4020,17282.68656716418
