bench,arch,taffo_conf,hw_sw_config,energy,float_op_count_default,kernel_float_op_count_default,energy_per_op
bicg,float24_IMFZm,float,float24_IMFZm_float,38873240.0,2242,1760,22087.06818181818
gemm,float24_IMFZm,float,float24_IMFZm_float,127134720.0,6352,5880,21621.551020408162
gemver,float24_IMFZm,float,float24_IMFZm_float,75431520.0,4640,4020,18764.059701492537
gesummv,float24_IMFZm,float,float24_IMFZm_float,22798480.0,1600,1072,21267.238805970148
lu,float24_IMFZm,float,float24_IMFZm_float,159280680.0,21550,5130,31048.86549707602
ludcmp,float24_IMFZm,float,float24_IMFZm_float,163363200.0,22390,5910,27641.827411167513
mvt,float24_IMFZm,float,float24_IMFZm_float,40331480.0,2080,1600,25207.175
symm,float24_IMFZm,float,float24_IMFZm_float,81576120.0,4935,4560,17889.5
syr2k,float24_IMFZm,float,float24_IMFZm_float,116868940.0,8872,8296,14087.384281581484
syrk,float24_IMFZm,float,float24_IMFZm_float,90022480.0,4632,4216,21352.58064516129
trmm,float24_IMFZm,float,float24_IMFZm_float,48350640.0,1805,1600,30219.15
2mm,float24_IMFZm,float,float24_IMFZm_float,133840100.0,5700,5232,25581.05886850153
3mm,float24_IMFZm,float,float24_IMFZm_float,148079920.0,5220,4800,30849.983333333334
atax,float24_IMFZm,float,float24_IMFZm_float,45894120.0,2244,1760,26076.204545454544
bicg,float24_IMFZm,float,float24_IMFZm_float,38873240.0,2242,1760,22087.06818181818
gemm,float24_IMFZm,float,float24_IMFZm_float,127134720.0,6352,5880,21621.551020408162
gemver,float24_IMFZm,float,float24_IMFZm_float,75431520.0,4640,4020,18764.059701492537
gesummv,float24_IMFZm,float,float24_IMFZm_float,22798480.0,1600,1072,21267.238805970148
lu,float24_IMFZm,float,float24_IMFZm_float,159280680.0,21550,5130,31048.86549707602
ludcmp,float24_IMFZm,float,float24_IMFZm_float,163363200.0,22390,5910,27641.827411167513
mvt,float24_IMFZm,float,float24_IMFZm_float,40331480.0,2080,1600,25207.175
symm,float24_IMFZm,float,float24_IMFZm_float,81576120.0,4935,4560,17889.5
syr2k,float24_IMFZm,float,float24_IMFZm_float,116868940.0,8872,8296,14087.384281581484
syrk,float24_IMFZm,float,float24_IMFZm_float,90022480.0,4632,4216,21352.58064516129
trmm,float24_IMFZm,float,float24_IMFZm_float,48350640.0,1805,1600,30219.15
2mm,float24_IMFZm,float,float24_IMFZm_float,133840100.0,5700,5232,25581.05886850153
3mm,float24_IMFZm,float,float24_IMFZm_float,148079920.0,5220,4800,30849.983333333334
atax,float24_IMFZm,float,float24_IMFZm_float,45894120.0,2244,1760,26076.204545454544
bicg,float24_IMFZm,float,float24_IMFZm_float,38873240.0,2242,1760,22087.06818181818
gemm,float24_IMFZm,float,float24_IMFZm_float,127134720.0,6352,5880,21621.551020408162
gemver,float24_IMFZm,float,float24_IMFZm_float,75431520.0,4640,4020,18764.059701492537
gesummv,float24_IMFZm,float,float24_IMFZm_float,22798480.0,1600,1072,21267.238805970148
lu,float24_IMFZm,float,float24_IMFZm_float,159280680.0,21550,5130,31048.86549707602
ludcmp,float24_IMFZm,float,float24_IMFZm_float,163363200.0,22390,5910,27641.827411167513
mvt,float24_IMFZm,float,float24_IMFZm_float,40331480.0,2080,1600,25207.175
symm,float24_IMFZm,float,float24_IMFZm_float,81576120.0,4935,4560,17889.5
syr2k,float24_IMFZm,float,float24_IMFZm_float,116868940.0,8872,8296,14087.384281581484
syrk,float24_IMFZm,float,float24_IMFZm_float,90022480.0,4632,4216,21352.58064516129
trmm,float24_IMFZm,float,float24_IMFZm_float,48350640.0,1805,1600,30219.15
2mm,float24_IMFZm,fixed,float24_IMFZm_fixed,66686200.0,5700,5232,12745.833333333334
3mm,float24_IMFZm,fixed,float24_IMFZm_fixed,67507040.0,5220,4800,14063.966666666667
atax,float24_IMFZm,fixed,float24_IMFZm_fixed,24069040.0,2244,1760,13675.59090909091
bicg,float24_IMFZm,fixed,float24_IMFZm_fixed,22315280.0,2242,1760,12679.136363636364
gemm,float24_IMFZm,fixed,float24_IMFZm_fixed,75473540.0,6352,5880,12835.63605442177
gemver,float24_IMFZm,fixed,float24_IMFZm_fixed,47154240.0,4640,4020,11729.910447761195
gesummv,float24_IMFZm,fixed,float24_IMFZm_fixed,11132160.0,1600,1072,10384.477611940298
lu,float24_IMFZm,fixed,float24_IMFZm_fixed,84848720.0,21550,5130,16539.71150097466
ludcmp,float24_IMFZm,fixed,float24_IMFZm_fixed,74775360.0,22390,5910,12652.345177664974
mvt,float24_IMFZm,fixed,float24_IMFZm_fixed,22681680.0,2080,1600,14176.05
symm,float24_IMFZm,fixed,float24_IMFZm_fixed,49133800.0,4935,4560,10774.956140350878
syr2k,float24_IMFZm,fixed,float24_IMFZm_fixed,91237440.0,8872,8296,10997.762777242044
syrk,float24_IMFZm,fixed,float24_IMFZm_fixed,57609480.0,4632,4216,13664.487666034156
trmm,float24_IMFZm,fixed,float24_IMFZm_fixed,28928000.0,1805,1600,18080.0
jacobi-1d,float24_IMFZm,fixed,float24_IMFZm_fixed,8278580.0,840,780,10613.564102564103
jacobi-2d,float24_IMFZm,fixed,float24_IMFZm_fixed,164411300.0,18250,16900,9728.479289940828
seidel-2d,float24_IMFZm,fixed,float24_IMFZm_fixed,249156960.0,30360,29160,8544.477366255143
2mm,float24_IMFZm,fixed,float24_IMFZm_fixed,76038700.0,5700,5232,14533.390672782874
3mm,float24_IMFZm,fixed,float24_IMFZm_fixed,72196000.0,5220,4800,15040.833333333334
atax,float24_IMFZm,fixed,float24_IMFZm_fixed,30040560.0,2244,1760,17068.5
bicg,float24_IMFZm,fixed,float24_IMFZm_fixed,20806400.0,2242,1760,11821.818181818182
gemm,float24_IMFZm,fixed,float24_IMFZm_fixed,74801440.0,6352,5880,12721.333333333334
gemver,float24_IMFZm,fixed,float24_IMFZm_fixed,51564060.0,4640,4020,12826.880597014926
gesummv,float24_IMFZm,fixed,float24_IMFZm_fixed,11186400.0,1600,1072,10435.074626865671
lu,float24_IMFZm,fixed,float24_IMFZm_fixed,85074000.0,21550,5130,16583.625730994154
ludcmp,float24_IMFZm,fixed,float24_IMFZm_fixed,80432980.0,22390,5910,13609.641285956006
mvt,float24_IMFZm,fixed,float24_IMFZm_fixed,23085040.0,2080,1600,14428.15
symm,float24_IMFZm,fixed,float24_IMFZm_fixed,74422800.0,4935,4560,16320.78947368421
syr2k,float24_IMFZm,fixed,float24_IMFZm_fixed,93865580.0,8872,8296,11314.558823529413
syrk,float24_IMFZm,fixed,float24_IMFZm_fixed,57744720.0,4632,4216,13696.565464895635
trmm,float24_IMFZm,fixed,float24_IMFZm_fixed,43177600.0,1805,1600,26986.0
heat-3d,float24_IMFZm,fixed,float24_IMFZm_fixed,11065600.0,8350,8100,1366.1234567901236
jacobi-1d,float24_IMFZm,fixed,float24_IMFZm_fixed,8414880.0,840,780,10788.307692307691
jacobi-2d,float24_IMFZm,fixed,float24_IMFZm_fixed,162642480.0,18250,16900,9623.815384615385
seidel-2d,float24_IMFZm,fixed,float24_IMFZm_fixed,248444560.0,30360,29160,8520.046639231825
2mm,float24_IMFZm,float,float24_IMFZm_float,133840100.0,5700,5232,25581.05886850153
3mm,float24_IMFZm,float,float24_IMFZm_float,151976760.0,5220,4800,31661.825
atax,float24_IMFZm,float,float24_IMFZm_float,45894120.0,2244,1760,26076.204545454544
bicg,float24_IMFZm,float,float24_IMFZm_float,38873240.0,2242,1760,22087.06818181818
gemm,float24_IMFZm,float,float24_IMFZm_float,127134720.0,6352,5880,21621.551020408162
gemver,float24_IMFZm,float,float24_IMFZm_float,75431520.0,4640,4020,18764.059701492537
gesummv,float24_IMFZm,float,float24_IMFZm_float,22798480.0,1600,1072,21267.238805970148
lu,float24_IMFZm,float,float24_IMFZm_float,159280680.0,21550,5130,31048.86549707602
ludcmp,float24_IMFZm,float,float24_IMFZm_float,163363200.0,22390,5910,27641.827411167513
mvt,float24_IMFZm,float,float24_IMFZm_float,40331480.0,2080,1600,25207.175
symm,float24_IMFZm,float,float24_IMFZm_float,81576120.0,4935,4560,17889.5
syr2k,float24_IMFZm,float,float24_IMFZm_float,116868940.0,8872,8296,14087.384281581484
syrk,float24_IMFZm,float,float24_IMFZm_float,90022480.0,4632,4216,21352.58064516129
trmm,float24_IMFZm,float,float24_IMFZm_float,48350640.0,1805,1600,30219.15
2mm,float24_IMFZm,fixed,float24_IMFZm_fixed,66075320.0,5700,5232,12629.074923547401
3mm,float24_IMFZm,fixed,float24_IMFZm_fixed,72693020.0,5220,4800,15144.379166666668
atax,float24_IMFZm,fixed,float24_IMFZm_fixed,28496640.0,2244,1760,16191.272727272728
bicg,float24_IMFZm,fixed,float24_IMFZm_fixed,21809600.0,2242,1760,12391.818181818182
gemm,float24_IMFZm,fixed,float24_IMFZm_fixed,77059200.0,6352,5880,13105.30612244898
gemver,float24_IMFZm,fixed,float24_IMFZm_fixed,49327000.0,4640,4020,12270.39800995025
gesummv,float24_IMFZm,fixed,float24_IMFZm_fixed,11169600.0,1600,1072,10419.402985074626
lu,float24_IMFZm,fixed,float24_IMFZm_fixed,88941000.0,21550,5130,17337.426900584796
ludcmp,float24_IMFZm,fixed,float24_IMFZm_fixed,79127040.0,22390,5910,13388.67005076142
mvt,float24_IMFZm,fixed,float24_IMFZm_fixed,24193240.0,2080,1600,15120.775
symm,float24_IMFZm,fixed,float24_IMFZm_fixed,49940320.0,4935,4560,10951.82456140351
syr2k,float24_IMFZm,fixed,float24_IMFZm_fixed,98641900.0,8872,8296,11890.296528447445
syrk,float24_IMFZm,fixed,float24_IMFZm_fixed,57726320.0,4632,4216,13692.201138519924
trmm,float24_IMFZm,fixed,float24_IMFZm_fixed,29873000.0,1805,1600,18670.625
heat-3d,float24_IMFZm,fixed,float24_IMFZm_fixed,11065600.0,8350,8100,1366.1234567901236
jacobi-1d,float24_IMFZm,fixed,float24_IMFZm_fixed,8420520.0,840,780,10795.538461538461
jacobi-2d,float24_IMFZm,fixed,float24_IMFZm_fixed,165770220.0,18250,16900,9808.88875739645
seidel-2d,float24_IMFZm,fixed,float24_IMFZm_fixed,248444560.0,30360,29160,8520.046639231825
2mm,float24_IMFZm,float,float24_IMFZm_float,133840100.0,5700,5232,25581.05886850153
3mm,float24_IMFZm,float,float24_IMFZm_float,148079920.0,5220,4800,30849.983333333334
atax,float24_IMFZm,float,float24_IMFZm_float,45894120.0,2244,1760,26076.204545454544
bicg,float24_IMFZm,float,float24_IMFZm_float,38873240.0,2242,1760,22087.06818181818
gemm,float24_IMFZm,float,float24_IMFZm_float,127134720.0,6352,5880,21621.551020408162
gemver,float24_IMFZm,float,float24_IMFZm_float,75431520.0,4640,4020,18764.059701492537
gesummv,float24_IMFZm,float,float24_IMFZm_float,22798480.0,1600,1072,21267.238805970148
lu,float24_IMFZm,float,float24_IMFZm_float,159280680.0,21550,5130,31048.86549707602
ludcmp,float24_IMFZm,float,float24_IMFZm_float,163363200.0,22390,5910,27641.827411167513
mvt,float24_IMFZm,float,float24_IMFZm_float,40331480.0,2080,1600,25207.175
symm,float24_IMFZm,float,float24_IMFZm_float,81576120.0,4935,4560,17889.5
syr2k,float24_IMFZm,float,float24_IMFZm_float,116868940.0,8872,8296,14087.384281581484
syrk,float24_IMFZm,float,float24_IMFZm_float,90022480.0,4632,4216,21352.58064516129
trmm,float24_IMFZm,float,float24_IMFZm_float,48350640.0,1805,1600,30219.15
2mm,float32_IMFZm,fixed,float32_IMFZm_fixed,68877120.0,5700,5232,13164.587155963303
3mm,float32_IMFZm,fixed,float32_IMFZm_fixed,73671360.0,5220,4800,15348.2
atax,float32_IMFZm,fixed,float32_IMFZm_fixed,29841000.0,2244,1760,16955.113636363636
bicg,float32_IMFZm,fixed,float32_IMFZm_fixed,21809600.0,2242,1760,12391.818181818182
gemm,float32_IMFZm,fixed,float32_IMFZm_fixed,79558000.0,6352,5880,13530.272108843537
gemver,float32_IMFZm,fixed,float32_IMFZm_fixed,55189200.0,4640,4020,13728.65671641791
gesummv,float32_IMFZm,fixed,float32_IMFZm_fixed,11184800.0,1600,1072,10433.58208955224
lu,float32_IMFZm,fixed,float32_IMFZm_fixed,92808000.0,21550,5130,18091.22807017544
ludcmp,float32_IMFZm,fixed,float32_IMFZm_fixed,82987000.0,22390,5910,14041.793570219967
mvt,float32_IMFZm,fixed,float32_IMFZm_fixed,24719180.0,2080,1600,15449.4875
symm,float32_IMFZm,fixed,float32_IMFZm_fixed,51009600.0,4935,4560,11186.315789473685
syr2k,float32_IMFZm,fixed,float32_IMFZm_fixed,99873000.0,8872,8296,12038.693346190936
syrk,float32_IMFZm,fixed,float32_IMFZm_fixed,60235200.0,4632,4216,14287.286527514232
trmm,float32_IMFZm,fixed,float32_IMFZm_fixed,30470460.0,1805,1600,19044.0375
heat-3d,float32_IMFZm,fixed,float32_IMFZm_fixed,11397000.0,8350,8100,1407.037037037037
jacobi-1d,float32_IMFZm,fixed,float32_IMFZm_fixed,8772960.0,840,780,11247.384615384615
jacobi-2d,float32_IMFZm,fixed,float32_IMFZm_fixed,168897960.0,18250,16900,9993.962130177515
seidel-2d,float32_IMFZm,fixed,float32_IMFZm_fixed,258000120.0,30360,29160,8847.74074074074
2mm,float32_IMFZm,float,float32_IMFZm_float,142141740.0,5700,5232,27167.76376146789
3mm,float32_IMFZm,float,float32_IMFZm_float,160319840.0,5220,4800,33399.96666666667
atax,float32_IMFZm,float,float32_IMFZm_float,49405820.0,2244,1760,28071.488636363636
bicg,float32_IMFZm,float,float32_IMFZm_float,40914400.0,2242,1760,23246.81818181818
gemm,float32_IMFZm,float,float32_IMFZm_float,132377560.0,6352,5880,22513.190476190477
gemver,float32_IMFZm,float,float32_IMFZm_float,81297260.0,4640,4020,20223.199004975126
gesummv,float32_IMFZm,float,float32_IMFZm_float,24004800.0,1600,1072,22392.537313432837
lu,float32_IMFZm,float,float32_IMFZm_float,170572080.0,21550,5130,33249.91812865497
ludcmp,float32_IMFZm,float,float32_IMFZm_float,176867880.0,22390,5910,29926.883248730963
mvt,float32_IMFZm,float,float32_IMFZm_float,42502200.0,2080,1600,26563.875
symm,float32_IMFZm,float,float32_IMFZm_float,85938840.0,4935,4560,18846.236842105263
syr2k,float32_IMFZm,float,float32_IMFZm_float,126360800.0,8872,8296,15231.533269045323
syrk,float32_IMFZm,float,float32_IMFZm_float,94473600.0,4632,4216,22408.349146110057
trmm,float32_IMFZm,float,float32_IMFZm_float,52211880.0,1805,1600,32632.425
jacobi-1d,float32_IMFZm,float,float32_IMFZm_float,172017440.0,840,780,220535.1794871795
jacobi-2d,float32_IMFZm,float,float32_IMFZm_float,221961600.0,18250,16900,13133.8224852071
seidel-2d,float32_IMFZm,float,float32_IMFZm_float,344462040.0,30360,29160,11812.827160493827
2mm,float32_IMFZm,fixed,float32_IMFZm_fixed,68758080.0,5700,5232,13141.834862385322
3mm,float32_IMFZm,fixed,float32_IMFZm_fixed,75811820.0,5220,4800,15794.129166666668
atax,float32_IMFZm,fixed,float32_IMFZm_fixed,29684000.0,2244,1760,16865.909090909092
bicg,float32_IMFZm,fixed,float32_IMFZm_fixed,21809600.0,2242,1760,12391.818181818182
gemm,float32_IMFZm,fixed,float32_IMFZm_fixed,81072660.0,6352,5880,13787.867346938776
gemver,float32_IMFZm,fixed,float32_IMFZm_fixed,51468560.0,4640,4020,12803.124378109453
gesummv,float32_IMFZm,fixed,float32_IMFZm_fixed,11448840.0,1600,1072,10679.888059701492
lu,float32_IMFZm,fixed,float32_IMFZm_fixed,92808000.0,21550,5130,18091.22807017544
ludcmp,float32_IMFZm,fixed,float32_IMFZm_fixed,82424000.0,22390,5910,13946.531302876481
mvt,float32_IMFZm,fixed,float32_IMFZm_fixed,24705080.0,2080,1600,15440.675
symm,float32_IMFZm,fixed,float32_IMFZm_fixed,51032640.0,4935,4560,11191.368421052632
syr2k,float32_IMFZm,fixed,float32_IMFZm_fixed,101865360.0,8872,8296,12278.852459016394
syrk,float32_IMFZm,fixed,float32_IMFZm_fixed,58980300.0,4632,4216,13989.634724857686
trmm,float32_IMFZm,fixed,float32_IMFZm_fixed,31067920.0,1805,1600,19417.45
heat-3d,float32_IMFZm,fixed,float32_IMFZm_fixed,11460800.0,8350,8100,1414.9135802469136
jacobi-1d,float32_IMFZm,fixed,float32_IMFZm_fixed,8778840.0,840,780,11254.923076923076
jacobi-2d,float32_IMFZm,fixed,float32_IMFZm_fixed,172025700.0,18250,16900,10179.03550295858
seidel-2d,float32_IMFZm,fixed,float32_IMFZm_fixed,258000120.0,30360,29160,8847.74074074074
2mm,float32_IMFZm,float,float32_IMFZm_float,141074700.0,5700,5232,26963.81880733945
3mm,float32_IMFZm,float,float32_IMFZm_float,159770440.0,5220,4800,33285.50833333333
atax,float32_IMFZm,float,float32_IMFZm_float,49517340.0,2244,1760,28134.852272727272
bicg,float32_IMFZm,float,float32_IMFZm_float,40919200.0,2242,1760,23249.545454545456
gemm,float32_IMFZm,float,float32_IMFZm_float,134197760.0,6352,5880,22822.748299319726
gemver,float32_IMFZm,float,float32_IMFZm_float,81386640.0,4640,4020,20245.432835820895
gesummv,float32_IMFZm,float,float32_IMFZm_float,23998400.0,1600,1072,22386.567164179105
lu,float32_IMFZm,float,float32_IMFZm_float,171533040.0,21550,5130,33437.23976608187
ludcmp,float32_IMFZm,float,float32_IMFZm_float,175929600.0,22390,5910,29768.121827411167
mvt,float32_IMFZm,float,float32_IMFZm_float,42511560.0,2080,1600,26569.725
symm,float32_IMFZm,float,float32_IMFZm_float,85985640.0,4935,4560,18856.5
syr2k,float32_IMFZm,float,float32_IMFZm_float,123186180.0,8872,8296,14848.864513018321
syrk,float32_IMFZm,float,float32_IMFZm_float,94888560.0,4632,4216,22506.774193548386
trmm,float32_IMFZm,float,float32_IMFZm_float,50830160.0,1805,1600,31768.85
2mm,float32_IMFZm,float,float32_IMFZm_float,141074700.0,5700,5232,26963.81880733945
3mm,float32_IMFZm,float,float32_IMFZm_float,159770440.0,5220,4800,33285.50833333333
atax,float32_IMFZm,float,float32_IMFZm_float,49517340.0,2244,1760,28134.852272727272
bicg,float32_IMFZm,float,float32_IMFZm_float,40919200.0,2242,1760,23249.545454545456
gemm,float32_IMFZm,float,float32_IMFZm_float,134197760.0,6352,5880,22822.748299319726
gemver,float32_IMFZm,float,float32_IMFZm_float,81386640.0,4640,4020,20245.432835820895
gesummv,float32_IMFZm,float,float32_IMFZm_float,23998400.0,1600,1072,22386.567164179105
lu,float32_IMFZm,float,float32_IMFZm_float,171533040.0,21550,5130,33437.23976608187
ludcmp,float32_IMFZm,float,float32_IMFZm_float,175929600.0,22390,5910,29768.121827411167
mvt,float32_IMFZm,float,float32_IMFZm_float,42511560.0,2080,1600,26569.725
symm,float32_IMFZm,float,float32_IMFZm_float,85985640.0,4935,4560,18856.5
syr2k,float32_IMFZm,float,float32_IMFZm_float,123186180.0,8872,8296,14848.864513018321
syrk,float32_IMFZm,float,float32_IMFZm_float,94888560.0,4632,4216,22506.774193548386
trmm,float32_IMFZm,float,float32_IMFZm_float,52069920.0,1805,1600,32543.7
2mm,float32_IMFZm,fixed,float32_IMFZm_fixed,80155920.0,5700,5232,15320.321100917432
3mm,float32_IMFZm,fixed,float32_IMFZm_fixed,77580600.0,5220,4800,16162.625
atax,float32_IMFZm,fixed,float32_IMFZm_fixed,31479840.000000004,2244,1760,17886.272727272728
bicg,float32_IMFZm,fixed,float32_IMFZm_fixed,21846720.0,2242,1760,12412.90909090909
gemm,float32_IMFZm,fixed,float32_IMFZm_fixed,79494000.0,6352,5880,13519.387755102041
gemver,float32_IMFZm,fixed,float32_IMFZm_fixed,54690240.0,4640,4020,13604.537313432837
gesummv,float32_IMFZm,fixed,float32_IMFZm_fixed,11277460.0,1600,1072,10520.018656716418
lu,float32_IMFZm,fixed,float32_IMFZm_fixed,88941000.0,21550,5130,17337.426900584796
ludcmp,float32_IMFZm,fixed,float32_IMFZm_fixed,85054740.0,22390,5910,14391.664974619289
mvt,float32_IMFZm,fixed,float32_IMFZm_fixed,24123320.0,2080,1600,15077.075
symm,float32_IMFZm,fixed,float32_IMFZm_fixed,76880000.0,4935,4560,16859.64912280702
syr2k,float32_IMFZm,fixed,float32_IMFZm_fixed,99857000.0,8872,8296,12036.764705882353
syrk,float32_IMFZm,fixed,float32_IMFZm_fixed,60255360.0,4632,4216,14292.068311195446
trmm,float32_IMFZm,fixed,float32_IMFZm_fixed,44526900.0,1805,1600,27829.3125
heat-3d,float32_IMFZm,fixed,float32_IMFZm_fixed,11460800.0,8350,8100,1414.9135802469136
jacobi-1d,float32_IMFZm,fixed,float32_IMFZm_fixed,8772960.0,840,780,11247.384615384615
jacobi-2d,float32_IMFZm,fixed,float32_IMFZm_fixed,172025700.0,18250,16900,10179.03550295858
seidel-2d,float32_IMFZm,fixed,float32_IMFZm_fixed,258000120.0,30360,29160,8847.74074074074
2mm,float32_IMFZm,fixed,float32_IMFZm_fixed,68821440.0,5700,5232,13153.944954128441
3mm,float32_IMFZm,fixed,float32_IMFZm_fixed,71867320.0,5220,4800,14972.358333333334
atax,float32_IMFZm,fixed,float32_IMFZm_fixed,29682000.0,2244,1760,16864.772727272728
bicg,float32_IMFZm,fixed,float32_IMFZm_fixed,22316800.0,2242,1760,12680.0
gemm,float32_IMFZm,fixed,float32_IMFZm_fixed,80274000.0,6352,5880,13652.040816326531
gemver,float32_IMFZm,fixed,float32_IMFZm_fixed,50089140.0,4640,4020,12459.985074626866
gesummv,float32_IMFZm,fixed,float32_IMFZm_fixed,11436540.0,1600,1072,10668.414179104477
lu,float32_IMFZm,fixed,float32_IMFZm_fixed,94741500.0,21550,5130,18468.128654970762
ludcmp,float32_IMFZm,fixed,float32_IMFZm_fixed,83666520.0,22390,5910,14156.77157360406
mvt,float32_IMFZm,fixed,float32_IMFZm_fixed,25245120.0,2080,1600,15778.2
symm,float32_IMFZm,fixed,float32_IMFZm_fixed,51203040.0,4935,4560,11228.736842105263
syr2k,float32_IMFZm,fixed,float32_IMFZm_fixed,97067000.0,8872,8296,11700.458052073289
syrk,float32_IMFZm,fixed,float32_IMFZm_fixed,65216060.0,4632,4216,15468.704933586338
trmm,float32_IMFZm,fixed,float32_IMFZm_fixed,31665380.0,1805,1600,19790.8625
2mm,float32_IMFZm,float,float32_IMFZm_float,141074700.0,5700,5232,26963.81880733945
3mm,float32_IMFZm,float,float32_IMFZm_float,159770440.0,5220,4800,33285.50833333333
atax,float32_IMFZm,float,float32_IMFZm_float,49517340.0,2244,1760,28134.852272727272
bicg,float32_IMFZm,float,float32_IMFZm_float,40919200.0,2242,1760,23249.545454545456
gemm,float32_IMFZm,float,float32_IMFZm_float,134197760.0,6352,5880,22822.748299319726
gemver,float32_IMFZm,float,float32_IMFZm_float,81386640.0,4640,4020,20245.432835820895
gesummv,float32_IMFZm,float,float32_IMFZm_float,23998400.0,1600,1072,22386.567164179105
lu,float32_IMFZm,float,float32_IMFZm_float,171533040.0,21550,5130,33437.23976608187
ludcmp,float32_IMFZm,float,float32_IMFZm_float,175929600.0,22390,5910,29768.121827411167
mvt,float32_IMFZm,float,float32_IMFZm_float,42511560.0,2080,1600,26569.725
symm,float32_IMFZm,float,float32_IMFZm_float,85985640.0,4935,4560,18856.5
syr2k,float32_IMFZm,float,float32_IMFZm_float,126344800.0,8872,8296,15229.60462873674
syrk,float32_IMFZm,float,float32_IMFZm_float,94888560.0,4632,4216,22506.774193548386
trmm,float32_IMFZm,float,float32_IMFZm_float,52069920.0,1805,1600,32543.7
2mm,float32_IMFZm,float,float32_IMFZm_float,141074700.0,5700,5232,26963.81880733945
3mm,float32_IMFZm,float,float32_IMFZm_float,159770440.0,5220,4800,33285.50833333333
atax,float32_IMFZm,float,float32_IMFZm_float,49517340.0,2244,1760,28134.852272727272
bicg,float32_IMFZm,float,float32_IMFZm_float,40919200.0,2242,1760,23249.545454545456
gemm,float32_IMFZm,float,float32_IMFZm_float,134197760.0,6352,5880,22822.748299319726
gemver,float32_IMFZm,float,float32_IMFZm_float,81386640.0,4640,4020,20245.432835820895
gesummv,float32_IMFZm,float,float32_IMFZm_float,23998400.0,1600,1072,22386.567164179105
lu,float32_IMFZm,float,float32_IMFZm_float,171533040.0,21550,5130,33437.23976608187
ludcmp,float32_IMFZm,float,float32_IMFZm_float,175929600.0,22390,5910,29768.121827411167
mvt,float32_IMFZm,float,float32_IMFZm_float,42511560.0,2080,1600,26569.725
symm,float32_IMFZm,float,float32_IMFZm_float,85985640.0,4935,4560,18856.5
syr2k,float32_IMFZm,float,float32_IMFZm_float,123186180.0,8872,8296,14848.864513018321
syrk,float32_IMFZm,float,float32_IMFZm_float,94888560.0,4632,4216,22506.774193548386
trmm,float32_IMFZm,float,float32_IMFZm_float,50830160.0,1805,1600,31768.85
2mm,float32_IMFZm,fixed,float32_IMFZm_fixed,65897760.0,5700,5232,12595.137614678899
3mm,float32_IMFZm,fixed,float32_IMFZm_fixed,75325740.0,5220,4800,15692.8625
atax,float32_IMFZm,fixed,float32_IMFZm_fixed,29684000.0,2244,1760,16865.909090909092
bicg,float32_IMFZm,fixed,float32_IMFZm_fixed,22316800.0,2242,1760,12680.0
gemm,float32_IMFZm,fixed,float32_IMFZm_fixed,81062460.0,6352,5880,13786.132653061224
gemver,float32_IMFZm,fixed,float32_IMFZm_fixed,51707760.0,4640,4020,12862.626865671642
gesummv,float32_IMFZm,fixed,float32_IMFZm_fixed,11448840.0,1600,1072,10679.888059701492
lu,float32_IMFZm,fixed,float32_IMFZm_fixed,92808000.0,21550,5130,18091.22807017544
ludcmp,float32_IMFZm,fixed,float32_IMFZm_fixed,82534620.0,22390,5910,13965.248730964468
mvt,float32_IMFZm,fixed,float32_IMFZm_fixed,25230720.0,2080,1600,15769.2
symm,float32_IMFZm,fixed,float32_IMFZm_fixed,49872640.0,4935,4560,10936.982456140351
syr2k,float32_IMFZm,fixed,float32_IMFZm_fixed,101865360.0,8872,8296,12278.852459016394
syrk,float32_IMFZm,fixed,float32_IMFZm_fixed,58980300.0,4632,4216,13989.634724857686
trmm,float32_IMFZm,fixed,float32_IMFZm_fixed,31067920.0,1805,1600,19417.45
2mm,float32_IMFZm,fixed,float32_IMFZm_fixed,68722560.0,5700,5232,13135.045871559632
3mm,float32_IMFZm,fixed,float32_IMFZm_fixed,71877120.0,5220,4800,14974.4
atax,float32_IMFZm,fixed,float32_IMFZm_fixed,28214000.0,2244,1760,16030.681818181818
bicg,float32_IMFZm,fixed,float32_IMFZm_fixed,23342400.0,2242,1760,13262.727272727272
gemm,float32_IMFZm,fixed,float32_IMFZm_fixed,91213500.0,6352,5880,15512.5
gemver,float32_IMFZm,fixed,float32_IMFZm_fixed,50706240.0,4640,4020,12613.492537313432
gesummv,float32_IMFZm,fixed,float32_IMFZm_fixed,11332000.0,1600,1072,10570.89552238806
lu,float32_IMFZm,fixed,float32_IMFZm_fixed,94741500.0,21550,5130,18468.128654970762
ludcmp,float32_IMFZm,fixed,float32_IMFZm_fixed,75847100.0,22390,5910,12833.688663282572
mvt,float32_IMFZm,fixed,float32_IMFZm_fixed,23702400.0,2080,1600,14814.0
symm,float32_IMFZm,fixed,float32_IMFZm_fixed,51020160.0,4935,4560,11188.631578947368
syr2k,float32_IMFZm,fixed,float32_IMFZm_fixed,96358500.0,8872,8296,11615.055448408872
syrk,float32_IMFZm,fixed,float32_IMFZm_fixed,66954240.0,4632,4216,15880.986717267551
trmm,float32_IMFZm,fixed,float32_IMFZm_fixed,31665380.0,1805,1600,19790.8625
heat-3d,float32_IMFZm,fixed,float32_IMFZm_fixed,11460800.0,8350,8100,1414.9135802469136
jacobi-1d,float32_IMFZm,fixed,float32_IMFZm_fixed,8778840.0,840,780,11254.923076923076
